link;named_entity1;named_entity2;named_entity3;named_entity4;named_entity5;named_entity6;named_entity7;named_entity8;named_entity9;named_entity10;named_entity11;named_entity12;named_entity13;named_entity14;named_entity15;named_entity16;named_entity17;named_entity18;named_entity19;named_entity20;named_entity21
https://www.britishmuseum.org/collection/object/P_D-5-86;Cyrus;Daniel;Bel;servant;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-135;woman;Wise Virgins;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_Ii-2-36;St Nicholas of Myra;angel;Emperor Constantine;army officers;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-1-96;Virgin Mary;woman;angel;St Anne;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-191;St Peter;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-48;St Andrew;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-203;Hunter;hare;dog;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-203;St Thomas;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_Ii-5-20;horse;elephant;lion;child;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-1-156;man;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-40;farmer;zodiac sign of Virgo;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-37;Christ;mother;child;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1937-0802-1-5;child;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-112;Christ;woman of Samaria;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_X-4-65;St Peter;crowd;Simon the magician;demon;Nero;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_R-1b-154;Justus Lipsius;serpent;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_L-83-114;baby;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_R-2-108;St Bernard;Virgin;Christ;Cistercian monk;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-387;dragon;frog;figure;King;angel;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-186;milkmaid;cow;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-8-111;peasant;woman;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-374;St John the Evangelist;figure in a throne;lamb;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_O-6-106;Pietro Francavilla;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-225;female;child;putto;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-4-116;Melancholia;putto;dog;bat;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-57-30;woman;Manufacturer;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-4-271;female;unicorn;Vestal virgins;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-253;Christ;man;figure;scribe;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_U-4-9;Christ;Samaritan;figure;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-84;Abraham;Isaac;angel;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-312;Christ;prisoner;woman;captive;prisoner;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_P-6-239;John Barefoot;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_L-83-112;girl;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-386;Beast;man;King;lamb;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_W-9-23;Pietro Aretino;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-1-272;St John the Evangelist;St Mary Magdalene;snake;putto;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_F-6-166;St Anastasius;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-4-177;Virgin;saint;angel;St Catherine;St Jerome;St Anthony;St John the Baptist;putto;hare;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1972-U-5-11;man;woman;cheat;man;figure;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_X-4-75;Christ;St Peter;apostle;angel;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-6-98;St Philip;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-18;Esther;Ahasuerus;maiden;members of the court;figure;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-57-87;carpenter;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1952-0705-1-13;satyr;snails;dolphin;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_E-1-105;Christ;disciple;figure;St Mary Magdalene;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-265;man;woman;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-370;St John the Evangelist;figure;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-5-59;mother;child;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_D-7-162;figure;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_2AA-a-71-30;Ferdinand of Bavaria;;;;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_1968-1018-1-213;Judas Maccabeus;general Nicanor;people;high priest;;;;;;;;;;;;;;;;;
https://www.britishmuseum.org/collection/object/P_V-2-63;Ezekiel;;;;;;;;;;;;;;;;;;;;
